Batch_Name	Plate_Name	Well_Count	Images_per_site	Sites_per_well_Median	Sites_per_well_mad
2022-08-07_batch	PE_PP_Plate2	96	6	7	0.000
2022-08-07_batch	Plate1_PE_PP96	96	6	7	0.000
2022_03_03_NCP_NEURONS_2_20x	BR00132672	384	6	3	0.0
2022_03_03_NCP_NEURONS_2_20x	BR00132673	384	6	3	0.016
2022_03_03_NCP_NEURONS_2_63x	BR00132672	368	6	9	0.005
2022_03_03_NCP_NEURONS_2_63x	BR00132673	368	6	9	0.0
